Player,Prg. Pass Distance,Expected Assist,Key Pass,Pass into Final 3rd,Pass into Penalty Area,Prg. Pass,Tackles Won,Tackles Defensive 3rd,Tackles Middle 3rd,Tackles Attacking 3rd,Interceptions,Dribblers Tackled,Carries,Prg. Carries,Carries into Final 3rd,Carries into Penalty Area,Pass Received,Prg. Passes Received
Lovro Majer,214.1,0.19,2.03,4.92,1.36,6.1,1.02,0.68,0.68,0.34,0.85,1.19,42.4,2.71,2.37,0.17,42.9,4.75
Rafail Mamas,39.7,0.06,0.86,0.86,0,1.71,1.14,0.57,1.14,0.29,0.57,0.29,19.7,1.14,2.29,0,18,2.57
Antonio Marchesano,144.1,0.1,2.07,4.14,1.38,7.24,1.03,0.69,1.03,0.34,1.03,1.03,34.8,2.07,1.03,0.69,40.7,4.83
Emiliano Martínez,96.7,0.02,0.36,2.18,0.36,2.55,2.73,1.09,2.55,0.18,1.27,1.27,24.4,0.73,0.55,0,22,0.36
Nemanja Matić,271.4,0.06,1.02,6.06,0.87,6.77,1.26,0.94,1.02,0.39,1.73,1.34,43.3,2.13,2.76,0.16,37.2,1.02
Brais Méndez,188.5,0.46,3.56,4.41,1.86,5.08,1.02,0.51,1.53,0.34,1.53,1.53,42,1.69,1.69,0.85,46.4,4.24
Mikel Merino,164.5,0.12,1.17,5,1.17,4.67,1.33,0.33,1.5,0.67,2,1,41.7,2,3.67,0,44.5,4.5
Sergej Milinković-Savić,213.5,0.08,0.81,5.14,0.81,7.03,0.54,0,0.81,0.81,0.54,1.08,65.4,1.89,1.89,0.54,67.8,5.14
Hidemasa Morita,173.9,0.03,0.83,4.44,0.56,5.56,0.83,0.56,0.83,0,2.22,0.28,34.2,1.11,1.94,0,33.9,1.67
Samuel Moutoussamy,176.3,0.08,1.36,3.05,0.34,5.25,0.68,1.02,0.85,0,0.51,0.85,35.6,1.86,2.37,0.17,35.1,0.85
Almoatasem Al Musrati,384.1,0,0.22,6.52,0.43,8.04,1.09,0.87,0.87,0.43,3.04,0.87,52,0.65,0.87,0,53.7,0.43
Cauly Oliveira Souza,160.3,0.33,3.33,4.33,2,6.33,0.33,0.17,0.5,0.17,0.17,0.5,35.2,3.5,3.33,1.17,43.5,6.33
Kristoffer Olsson,170.3,0,0,4.22,0.47,4.38,1.25,1.25,0.78,0.63,2.34,0.78,25.3,0.31,0.63,0.16,29.1,1.56
Martin Olsson,152.3,0.05,0.77,1.28,0.77,2.82,1.03,0.77,0.26,0,0.51,0.51,24.6,2.31,1.28,0,29.7,4.1
Cheick Oumar Conde,220.7,0.07,1.33,3,1.33,5.33,2,2,1,0.67,1.67,2,22,0.33,0.67,0,21.3,0
Exequiel Palacios,351.6,0.04,0.88,7.54,0.35,7.89,2.98,1.58,2.46,0.7,1.58,1.58,68.9,0.7,2.81,0.18,71.1,0.7
Lorenzo Pellegrini,145.9,0.21,2.48,2.33,0.7,2.87,0.78,0.47,0.7,0.47,0.62,0.62,29.8,1.55,1.4,0.39,28.3,4.57
Jakub Piotrowski,195.1,0.09,0.91,3.82,0.36,4.91,0.91,0.91,0.18,0.18,1.82,0.55,32.9,1.82,1.27,0,39.1,1.45
Pere Pons,112.5,0,0.31,1.88,0.63,3.13,1.56,1.88,1.88,0.31,1.25,1.25,23.4,0.94,1.25,0,24.7,2.5
Alexander Prass,128.1,0.07,1.69,3.05,1.02,3.22,1.02,0.17,1.02,0.34,0.68,0.68,27.1,1.53,1.69,0.34,27.1,1.53
Adrien Rabiot,167.8,0.17,1.08,3.49,1.08,5.42,1.33,1.2,0.36,0.24,0.84,0.84,40.8,2.41,2.29,0.36,37.2,2.77
Erdal Rakip,55.9,0.03,0.63,0.94,0,1.56,2.19,0.94,2.19,0,0.31,0.94,14.4,0.31,0,0,16.9,3.13
Ivan Rakitić,265.5,0.11,2.19,5.94,1.04,8.02,0.94,0.73,0.94,0.31,0.52,0.94,40.7,2.19,2.92,0.21,44.2,3.33
Guido Rodríguez,245.4,0.05,0.77,3.33,0.26,3.85,2.31,2.56,2.82,0.26,1.79,3.33,39,0.77,1.03,0.26,43.3,1.28
