,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
10,53906,54,Goal,0.885,0.46,0.09063190221786499,Olivier Giroud,a,502,OpenPlay,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,,None
11,53907,57,BlockedShot,0.7519999694824219,0.4570000076293945,0.06513403356075287,Mesut Özil,a,499,DirectFreekick,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,,Standard
12,53908,57,MissedShots,0.865,0.6630000305175782,0.07332368940114975,Theo Walcott,a,503,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Aaron Ramsey,Pass
13,53911,62,BlockedShot,0.8480000305175781,0.4879999923706055,0.10344268381595612,Olivier Giroud,a,502,OpenPlay,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Joel Campbell,Pass
0,56080,9,SavedShot,0.785,0.48700000762939455,0.11716172844171524,Adam Lallana,h,486,OpenPlay,2015,Head,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Lucas Leiva,Throughball
1,56081,9,MissedShots,0.769000015258789,0.4640000152587891,0.026821110397577286,Roberto Firmino,h,482,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Adam Lallana,Pass
2,56082,11,MissedShots,0.8819999694824219,0.3240000152587891,0.05449376627802849,James Milner,h,489,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Roberto Firmino,Chipped
3,56083,16,MissedShots,0.7219999694824218,0.34900001525878904,0.014268456026911736,Jordan Henderson,h,605,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Roberto Firmino,Pass
4,56084,27,BlockedShot,0.8619999694824219,0.5459999847412109,0.10388541221618652,Jordan Henderson,h,605,OpenPlay,2015,LeftFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Alberto Moreno,Pass
5,56086,29,MissedShots,0.9419999694824219,0.29700000762939455,0.0566570982336998,Jordan Henderson,h,605,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Roberto Firmino,Pass
6,56087,31,MissedShots,0.785,0.3509999847412109,0.03010859340429306,Jordan Henderson,h,605,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,James Milner,HeadPass
7,56089,49,SavedShot,0.9080000305175782,0.6940000152587891,0.0653444454073906,Emre Can,h,604,OpenPlay,2015,LeftFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Adam Lallana,Pass
8,56090,51,BlockedShot,0.8180000305175781,0.34900001525878904,0.04378720000386238,Kolo Touré,h,476,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Lucas Leiva,TakeOn
