,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,326441,9,MissedShots,0.9590000152587891,0.7090000152587891,0.05242418870329857,Roberto Firmino,a,482,OpenPlay,2019,LeftFoot,11729,Manchester United,Liverpool,1,1,2019-10-20 16:30:00,Sadio Mané,HeadPass
2,326446,28,MissedShots,0.8640000152587891,0.4329999923706055,0.0736473873257637,Roberto Firmino,a,482,OpenPlay,2019,RightFoot,11729,Manchester United,Liverpool,1,1,2019-10-20 16:30:00,Trent Alexander-Arnold,Chipped
3,326447,33,SavedShot,0.860999984741211,0.4279999923706055,0.12901680171489716,Roberto Firmino,a,482,OpenPlay,2019,RightFoot,11729,Manchester United,Liverpool,1,1,2019-10-20 16:30:00,Sadio Mané,Pass
6,326453,76,SavedShot,0.8769999694824219,0.524000015258789,0.05110744386911392,Roberto Firmino,a,482,SetPiece,2019,Head,11729,Manchester United,Liverpool,1,1,2019-10-20 16:30:00,Trent Alexander-Arnold,Cross
4,328009,26,SavedShot,0.9569999694824218,0.32,0.04974276199936867,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11736,Liverpool,Tottenham,2,1,2019-10-27 16:30:00,,Rebound
10,328015,46,SavedShot,0.9690000152587891,0.4420000076293945,0.439589262008667,Roberto Firmino,h,482,OpenPlay,2019,Head,11736,Liverpool,Tottenham,2,1,2019-10-27 16:30:00,Andrew Robertson,Cross
15,328021,56,SavedShot,0.9769999694824218,0.4,0.11286359280347824,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11736,Liverpool,Tottenham,2,1,2019-10-27 16:30:00,Trent Alexander-Arnold,Pass
19,328026,70,BlockedShot,0.86,0.3120000076293945,0.035292573273181915,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11736,Liverpool,Tottenham,2,1,2019-10-27 16:30:00,Mohamed Salah,Pass
5,329251,46,BlockedShot,0.879000015258789,0.5690000152587891,0.07149005681276321,Roberto Firmino,a,482,OpenPlay,2019,LeftFoot,11744,Aston Villa,Liverpool,1,2,2019-11-02 15:00:00,Sadio Mané,Cross
10,329256,62,BlockedShot,0.8530000305175781,0.754000015258789,0.026412777602672577,Roberto Firmino,a,482,OpenPlay,2019,RightFoot,11744,Aston Villa,Liverpool,1,2,2019-11-02 15:00:00,Georginio Wijnaldum,Pass
4,331554,34,MissedShots,0.8519999694824218,0.6229999923706054,0.10368156433105469,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11755,Liverpool,Manchester City,3,1,2019-11-10 16:30:00,,TakeOn
5,331555,37,SavedShot,0.899000015258789,0.624000015258789,0.11812230944633484,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11755,Liverpool,Manchester City,3,1,2019-11-10 16:30:00,Trent Alexander-Arnold,Pass
9,331565,54,MissedShots,0.8769999694824219,0.67,0.029299283400177956,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11755,Liverpool,Manchester City,3,1,2019-11-10 16:30:00,,Aerial
3,332262,46,MissedShots,0.9209999847412109,0.35700000762939454,0.01473650150001049,Roberto Firmino,a,482,FromCorner,2019,Head,11767,Crystal Palace,Liverpool,1,2,2019-11-23 15:00:00,Trent Alexander-Arnold,Cross
6,332271,63,MissedShots,0.784000015258789,0.7559999847412109,0.02000843733549118,Roberto Firmino,a,482,OpenPlay,2019,RightFoot,11767,Crystal Palace,Liverpool,1,2,2019-11-23 15:00:00,Sadio Mané,Pass
7,332272,64,SavedShot,0.894000015258789,0.615,0.3259895145893097,Roberto Firmino,a,482,OpenPlay,2019,RightFoot,11767,Crystal Palace,Liverpool,1,2,2019-11-23 15:00:00,Andrew Robertson,Pass
10,332279,84,Goal,0.9519999694824218,0.5120000076293946,0.6140031218528748,Roberto Firmino,a,482,FromCorner,2019,LeftFoot,11767,Crystal Palace,Liverpool,1,2,2019-11-23 15:00:00,,Rebound
3,333644,15,SavedShot,0.855999984741211,0.53,0.09603805094957352,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11776,Liverpool,Brighton,2,1,2019-11-30 15:00:00,Sadio Mané,Pass
5,333646,19,SavedShot,0.9290000152587891,0.40700000762939453,0.11436227709054947,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11776,Liverpool,Brighton,2,1,2019-11-30 15:00:00,Sadio Mané,Chipped
4,335678,37,SavedShot,0.8,0.49700000762939456,0.0634496808052063,Roberto Firmino,a,482,OpenPlay,2019,LeftFoot,11794,Bournemouth,Liverpool,0,3,2019-12-07 15:00:00,James Milner,Pass
6,335680,40,BlockedShot,0.8540000152587891,0.49,0.10159569978713989,Roberto Firmino,a,482,OpenPlay,2019,LeftFoot,11794,Bournemouth,Liverpool,0,3,2019-12-07 15:00:00,Trent Alexander-Arnold,Pass
8,335682,45,MissedShots,0.82,0.5220000076293946,0.07217900454998016,Roberto Firmino,a,482,OpenPlay,2019,LeftFoot,11794,Bournemouth,Liverpool,0,3,2019-12-07 15:00:00,,BallRecovery
10,335683,47,MissedShots,0.9480000305175781,0.395,0.047002922743558884,Roberto Firmino,a,482,FromCorner,2019,Head,11794,Bournemouth,Liverpool,0,3,2019-12-07 15:00:00,Trent Alexander-Arnold,Cross
19,335694,85,BlockedShot,0.8859999847412109,0.6459999847412109,0.0656123161315918,Roberto Firmino,a,482,OpenPlay,2019,LeftFoot,11794,Bournemouth,Liverpool,0,3,2019-12-07 15:00:00,Naby Keita,TakeOn
5,336800,62,SavedShot,0.874000015258789,0.664000015258789,0.07317432761192322,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11808,Liverpool,Watford,2,0,2019-12-14 12:30:00,,BallTouch
10,336805,73,SavedShot,0.904000015258789,0.49700000762939456,0.14389003813266754,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11808,Liverpool,Watford,2,0,2019-12-14 12:30:00,Andrew Robertson,Pass
6,352357,49,SavedShot,0.93,0.5540000152587891,0.5092891454696655,Roberto Firmino,a,482,OpenPlay,2019,LeftFoot,11822,West Ham,Liverpool,0,2,2020-01-29 19:45:00,,None
8,352361,61,MissedShots,0.9119999694824219,0.34299999237060547,0.1487072855234146,Roberto Firmino,a,482,OpenPlay,2019,LeftFoot,11822,West Ham,Liverpool,0,2,2020-01-29 19:45:00,Jordan Henderson,TakeOn
6,339679,30,Goal,0.9480000305175781,0.4490000152587891,0.34544700384140015,Roberto Firmino,a,482,FromCorner,2019,Head,11828,Leicester,Liverpool,0,4,2019-12-26 20:00:00,Trent Alexander-Arnold,Cross
9,339683,54,MissedShots,0.9590000152587891,0.5570000076293945,0.5254456400871277,Roberto Firmino,a,482,OpenPlay,2019,RightFoot,11828,Leicester,Liverpool,0,4,2019-12-26 20:00:00,Andrew Robertson,Cross
12,339687,73,Goal,0.91,0.5159999847412109,0.4499961733818054,Roberto Firmino,a,482,OpenPlay,2019,RightFoot,11828,Leicester,Liverpool,0,4,2019-12-26 20:00:00,Trent Alexander-Arnold,Cross
3,339929,18,SavedShot,0.865,0.3659999847412109,0.10284899175167084,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11836,Liverpool,Wolverhampton Wanderers,1,0,2019-12-29 16:30:00,Mohamed Salah,Pass
6,339932,30,MissedShots,0.9,0.48400001525878905,0.06273287534713745,Roberto Firmino,h,482,FromCorner,2019,Head,11836,Liverpool,Wolverhampton Wanderers,1,0,2019-12-29 16:30:00,Andrew Robertson,Cross
9,339938,60,MissedShots,0.8290000152587891,0.5570000076293945,0.08787675201892853,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11836,Liverpool,Wolverhampton Wanderers,1,0,2019-12-29 16:30:00,Mohamed Salah,Pass
6,351619,37,BlockedShot,0.8380000305175781,0.4640000152587891,0.09172938764095306,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11847,Liverpool,Sheffield United,2,0,2020-01-02 20:00:00,Mohamed Salah,Pass
9,351622,53,MissedShots,0.9230000305175782,0.505,0.14327780902385712,Roberto Firmino,h,482,OpenPlay,2019,Head,11847,Liverpool,Sheffield United,2,0,2020-01-02 20:00:00,Jordan Henderson,Cross
10,351623,56,MissedShots,0.8,0.7609999847412109,0.025663018226623535,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11847,Liverpool,Sheffield United,2,0,2020-01-02 20:00:00,Andrew Robertson,Pass
12,351625,62,BlockedShot,0.8730000305175781,0.595999984741211,0.1045994758605957,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11847,Liverpool,Sheffield United,2,0,2020-01-02 20:00:00,Andrew Robertson,Pass
15,351628,68,MissedShots,0.955999984741211,0.4540000152587891,0.6240779161453247,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11847,Liverpool,Sheffield United,2,0,2020-01-02 20:00:00,Trent Alexander-Arnold,Pass
0,351770,1,BlockedShot,0.9130000305175782,0.38,0.12541407346725464,Roberto Firmino,a,482,OpenPlay,2019,LeftFoot,11854,Tottenham,Liverpool,0,1,2020-01-11 17:30:00,Alex Oxlade-Chamberlain,Chipped
